o_time,longitud,latitud,profundidad, nro_est, rms, gap, modelo_vel, error_longitud,error_latitud,error_prof, operador,the_mags
2020-12-08 09:29:20, -69.090, -19.972, 97.3, 13, 0.2, 198, p, 3.1, 1.3, 2.7, mdur, 3.4 L 
2020-12-08 11:33:48, -70.068, -19.062, 67.9, 9, 0.2, 154, p, 3.0, 1.5, 5.3, harz, 3.0 L 
2020-12-08 13:57:15, -68.682, -21.883, 125.1, 17, 0.2, 152, p, 2.5, 1.3, 3.4, eatl, 3.3 L 
2020-12-08 16:31:59, -70.088, -24.194, 52.6, 10, 0.2, 145, Q, 1.8, 1.9, 2.7, eatl, 3.2 L 
2020-12-08 16:37:24, -69.480, -23.113, 93.9, 12, 0.3, 85, Q, 2.8, 1.8, 4.3, eatl, 3.1 L 
2020-12-08 16:43:38, -71.306, -28.250, 33.7, 11, 0.3, 216, 1, 3.5, 1.5, 1.8, eatl, 4.2 L 
2020-12-08 17:02:44, -71.636, -31.672, 34.6, 32, 0.2, 188, 3, 2.4, 0.6, 1.6, eatl, 3.1 L 
2020-12-08 20:39:01, -67.994, -22.463, 186.9, 12, 0.3, 264, Q, 7.1, 2.4, 7.3, thor, 3.7 L 
2020-12-08 21:11:40, -68.190, -21.645, 149.8, 12, 0.3, 235, p, 6.7, 2.0, 7.4, thor, 3.5 L 
2020-12-08 23:53:44, -69.016, -27.888, 117.9, 11, 0.3, 112, C, 3.7, 2.4, 6.2, thor, 3.0 L 
2020-12-09 01:27:28, -70.854, -35.215, 112.6, 23, 0.2, 198, J, 3.7, 1.8, 2.8, jaba, 3.4 L 
2020-12-09 01:32:27, -68.509, -21.398, 132.2, 15, 0.3, 202, p, 4.5, 1.6, 5.2, harz, 3.0 L 
2020-12-09 04:07:48, -67.499, -24.066, 241.3, 10, 0.3, 279, Q, 8.7, 3.5, 8.4, jaba, 3.4 L 
2020-12-09 04:15:41, -71.643, -32.052, 30.1, 29, 0.3, 207, 3, 2.5, 1.0, 3.0, harz, 4.5 L 4.2 Mw 
2020-12-09 06:34:57, -58.350, -62.090, 10.0, 2, 0.1, 314,  , 7.0, 0.5, 0.0, seis, 4.9 L 4.9 Ml 
2020-12-09 10:20:53, -68.855, -21.123, 117.5, 17, 0.3, 129, p, 3.5, 1.3, 3.5, jaba, 4.6 L 4.6 Mw 
2020-12-09 10:46:48, -68.286, -24.135, 142.0, 10, 0.3, 191, Q, 3.8, 3.1, 5.3, jaba, 4.5 L 4.5 Mw 
2020-12-09 13:03:49, -73.276, -36.678, 32.3, 18, 0.2, 189, J, 3.7, 1.6, 1.6, eatl, 3.6 L 
2020-12-09 14:58:54, -68.424, -21.149, 127.7, 12, 0.3, 216, p, 6.2, 1.6, 7.0, thor, 3.0 L 
2020-12-09 17:22:34, -71.243, -35.018, 89.6, 14, 0.3, 158, 3, 4.0, 1.9, 6.3, thor, 3.3 L 
2020-12-09 17:35:28, -67.450, -23.915, 215.5, 11, 0.3, 234, Q, 7.2, 2.4, 8.9, thor, 3.1 L 
2020-12-09 18:40:33, -67.234, -24.182, 172.7, 8, 0.2, 147, Q, 3.3, 3.9, 8.7, eatl, 3.3 L 
2020-12-09 19:31:35, -71.691, -32.152, 60.9, 35, 0.3, 186, 3, 3.0, 1.0, 3.3, eatl, 3.8 L 
2020-12-10 00:34:16, -69.078, -20.357, 101.9, 8, 0.2, 195, p, 3.6, 1.7, 4.1, mdur, 3.0 L 
2020-12-10 00:46:36, -71.303, -28.293, 36.7, 9, 0.3, 214, Q, 4.9, 2.4, 3.5, jaba, 4.4 L 4.3 Mw 
2020-12-10 02:10:35, -71.045, -27.869, 32.6, 7, 0.2, 225, Q, 4.0, 2.1, 3.1, jaba, 3.0 L 
2020-12-10 04:24:17, -71.715, -31.484, 31.6, 23, 0.2, 205, 3, 3.0, 1.1, 2.7, harz, 3.4 L 
2020-12-10 08:34:19, -67.405, -24.031, 220.0, 8, 0.3, 295, Q, 15.7, 4.4, 12.6, jaba, 3.2 L 
2020-12-10 11:37:20, -69.506, -27.468, 106.3, 5, 0.2, 178, Q, 2.5, 1.6, 4.1, mdur, 3.3 L 
2020-12-10 13:05:26, -69.166, -20.592, 112.1, 18, 0.3, 180, p, 3.6, 1.6, 3.3, yole, 4.4 L 4.5 Mw 
2020-12-10 14:49:47, -67.492, -24.140, 201.2, 9, 0.3, 287, 1, 9.0, 6.0, 10.7, Jere, 4.0 L 
2020-12-10 16:59:39, -71.434, -21.790, 30.0, 9, 0.3, 295, 1, 6.3, 5.6, 0.0, yole, 3.0 L 
2020-12-10 21:41:11, -74.189, -42.561, 32.1, 8, 0.3, 240, J, 6.0, 2.4, 5.2, tati, 3.1 L 
2020-12-10 23:46:37, -69.080, -20.388, 102.5, 14, 0.3, 194, p, 3.8, 1.6, 3.5, yole, 3.1 L 
2020-12-11 06:22:43, -67.433, -24.024, 199.4, 9, 0.3, 296,  , 5.8, 6.0, 6.2, mabs, 4.2 L 
2020-12-11 19:50:34, -68.499, -22.133, 114.3, 12, 0.2, 217, p, 4.6, 1.5, 5.6, Jere, 3.4 L 
2020-12-11 21:30:00, -71.684, -32.276, 25.1, 19, 0.3, 211, C, 4.4, 1.6, 10.1, yole, 3.4 L 
2020-12-11 21:36:02, -68.884, -20.444, 102.6, 18, 0.3, 202, p, 6.7, 2.2, 4.4, caro, 3.7 L 
2020-12-11 22:11:39, -70.163, -19.204, 46.1, 16, 0.3, 164, p, 2.7, 1.4, 3.7, Jere, 4.7 L 4.4 Mw 
2020-12-12 01:34:18, -68.604, -21.141, 134.2, 10, 0.3, 214, p, 5.5, 1.5, 5.4, mabs, 3.6 L 
2020-12-12 04:42:59, -70.858, -20.733, 35.0, 16, 0.3, 208, p, 3.5, 1.9, 0.0, mabs, 4.0 L 4.1 Mw 
2020-12-12 05:19:42, -70.288, -32.704, 101.3, 17, 0.3, 174, C, 5.8, 1.7, 4.0, mabs, 3.5 L 
2020-12-12 07:13:10, -71.780, -32.298, 35.6, 25, 0.3, 184, 3, 2.9, 1.2, 3.5, mabs, 4.5 L 4.5 Mw 
2020-12-12 07:35:43, -71.791, -32.325, 38.0, 10, 0.3, 221, 3, 5.7, 1.8, 3.8, tark, 3.4 L 
2020-12-12 09:06:00, -71.782, -32.290, 17.8, 22, 0.3, 184, 3, 3.3, 1.1, 4.7, tark, 3.2 L 
2020-12-12 10:26:36, -68.836, -22.634, 105.3, 10, 0.3, 139, Q, 2.9, 2.2, 5.4, tark, 3.3 L 
2020-12-12 12:43:50, -69.187, -20.858, 101.1, 14, 0.2, 181, p, 3.0, 1.2, 3.0, yole, 3.0 L 
2020-12-12 16:18:43, -68.447, -21.991, 128.5, 13, 0.3, 181, p, 5.4, 2.7, 6.7, caro, 3.1 L 
2020-12-13 02:46:16, -68.918, -22.505, 100.9, 8, 0.2, 256, Q, 5.2, 2.2, 4.9, tark, 3.2 L 
2020-12-13 09:37:54, -68.874, -23.437, 114.3, 8, 0.3, 231, Q, 7.7, 3.5, 7.8, tark, 3.3 L 
2020-12-13 09:57:59, -69.274, -19.814, 96.5, 11, 0.2, 127, p, 2.6, 1.5, 2.7, tark, 3.2 L 
2020-12-13 10:47:58, -67.554, -21.264, 204.6, 12, 0.2, 259,  , 8.7, 3.3, 10.0, tark, 4.0 L 
2020-12-13 18:47:20, -69.827, -21.378, 44.3, 13, 0.3, 119, p, 2.6, 1.1, 1.9, yole, 3.2 L 
2020-12-13 20:52:24, -68.585, -21.929, 115.0, 11, 0.3, 174, p, 3.4, 1.6, 4.9, Jere, 3.2 L 
